CustomerID,Segment,Region,Age,Gender,TenureMonths,PlanType,NumServices,MonthlyRevenue,NumTicketsLast6M,AvgResolutionTimeHours,LatePaymentsLast6M,Autopay,SatisfactionScore,Churn,RetentionOfferCost,ExpectedMarginNext6M
C036,SME,Nord,66,M,34,Premium,3,178.73,0,31.5,0,0,7,0,20.49,428.95
C037,Individual,Chișinău,52,F,23,Premium,2,130.58,1,13.1,4,1,7.9,0,23.05,313.39
C038,Individual,Sud,69,F,37,Standard,2,77.98,3,31.1,2,1,5.3,0,58.48,187.15
C039,Individual,Centru,32,F,11,Standard,4,124.1,2,40.8,1,0,7.8,0,46.74,297.84
C040,Individual,Nord,64,F,6,Standard,2,76.05,1,18.7,0,0,7.9,0,44.98,182.52
C041,Individual,Centru,73,F,18,Basic,1,14.29,2,4.7,3,1,8.6,0,52.65,34.3
C042,Individual,Centru,39,F,21,Premium,2,104.99,2,40.9,1,1,6.4,0,15.79,251.98
C043,Individual,Nord,31,M,42,Premium,4,240.11,2,33.3,1,0,6.5,0,45.3,576.26
C044,SME,Centru,43,M,36,Standard,2,64.95,0,19.3,0,1,6.6,0,35.18,155.88
C045,Individual,Centru,45,F,41,Basic,1,32.34,5,21.8,0,1,5.9,0,51.46,77.62
C046,Individual,Sud,40,F,38,Basic,1,10.54,2,12.9,1,0,7,0,35.41,25.3
C047,Individual,Sud,31,M,34,Standard,1,31.17,1,38.2,1,0,5.6,0,41.01,74.81
C048,Individual,Nord,41,F,17,Basic,4,61.24,3,18.7,1,0,6.4,0,33.89,146.98
C049,Individual,Centru,19,F,37,Premium,4,191.99,0,9.8,1,1,6.9,0,33.91,460.78
C050,Individual,Sud,62,M,25,Basic,3,50.36,2,26.1,0,0,7,0,48.4,120.86
C051,SME,Centru,43,F,38,Basic,4,53.47,3,15.4,0,1,8.3,0,41.43,128.33
C052,SME,Chișinău,31,F,58,Premium,1,62.53,3,13.7,0,1,7.4,0,41.66,150.07
C053,SME,Sud,73,F,12,Standard,1,31.17,2,19.7,0,0,8.6,0,32.51,74.81
C054,SME,Nord,68,M,23,Basic,4,83.27,1,24.9,1,1,8.5,0,36.56,199.85
C055,Individual,Nord,24,M,53,Basic,2,35.65,2,10.2,2,1,8.6,0,47.29,85.56
C056,SME,Sud,20,M,42,Basic,4,66.18,3,37.9,2,0,5.6,0,51.3,158.83
C057,Individual,Nord,64,F,22,Standard,4,186.82,1,30.8,1,0,6.7,0,44.83,448.37
C058,Individual,Sud,40,F,21,Basic,1,24.61,4,20.3,1,0,6.5,0,56.2,59.06
C059,Individual,Chișinău,63,M,27,Standard,3,65.77,4,15,1,1,5.6,0,51.02,157.85
C060,Individual,Sud,60,F,57,Premium,1,35.26,0,23.1,2,1,8.5,0,38.09,84.62
C061,Individual,Centru,64,F,31,Basic,3,75.64,1,33,1,0,7,0,43.57,181.54
C062,Individual,Sud,62,F,6,Premium,1,49.8,3,31.4,0,1,8.3,0,56.32,119.52
C063,SME,Centru,35,F,27,Premium,4,154.04,2,34.6,0,0,7.6,0,40.96,369.7
C064,Individual,Centru,55,F,40,Basic,1,25.23,1,19.2,1,0,8.3,0,51.24,60.55
C065,Individual,Chișinău,52,M,34,Premium,1,56.69,2,2,2,0,6.5,0,44.44,136.06
C066,Individual,Centru,68,F,12,Standard,1,36.76,2,36.5,1,0,7.7,0,37.6,88.22
C067,Individual,Chișinău,32,M,45,Premium,4,252.38,1,22.3,0,0,8.8,0,22.09,605.71
C068,SME,Chișinău,42,F,57,Standard,4,103.32,1,30.7,0,0,7.5,0,31.3,247.97
C069,Individual,Nord,72,M,53,Standard,4,94.32,2,40.7,1,0,6.2,0,58.39,226.37
C070,SME,Nord,54,F,7,Standard,4,184.27,2,48.3,1,1,6.6,0,42.89,442.25
C071,SME,Nord,45,M,10,Premium,3,121.88,3,17.5,0,0,7.9,0,38.22,292.51
C072,Individual,Nord,27,F,45,Standard,3,79.33,1,25.3,2,0,9.3,0,56.65,190.39
C073,Individual,Nord,56,M,17,Standard,2,55.69,2,37.7,0,0,6.2,0,39.33,133.66
C074,SME,Sud,74,F,26,Premium,4,303.2,2,15.6,1,1,6.8,0,36.3,727.68
C075,Individual,Nord,34,M,21,Basic,3,67.4,3,18.2,1,0,7.4,0,47.97,161.76
C076,Individual,Centru,56,F,28,Basic,1,24.83,3,18.1,1,0,6.1,0,45.63,59.59
C077,SME,Chișinău,39,M,58,Basic,4,83.92,3,23.7,0,1,8.1,0,19.66,201.41
C078,Individual,Nord,43,M,46,Basic,2,33.98,0,21.8,1,0,8.2,0,33.57,81.55
C079,Individual,Chișinău,61,F,2,Basic,2,46.31,5,18.1,2,0,5.7,1,33.63,111.14
C080,Individual,Centru,42,F,60,Premium,2,78.87,1,14.3,1,1,8.4,0,28.91,189.29
C081,SME,Nord,34,M,54,Basic,1,14.52,0,32.1,1,0,8,0,35.86,34.85
C082,Individual,Sud,30,F,43,Standard,3,120.39,2,37.4,1,0,6.7,0,30.66,288.94
C083,Individual,Sud,37,M,1,Basic,1,13.21,2,38.8,0,0,5.6,0,19.97,31.7
C084,Individual,Chișinău,42,M,51,Premium,4,212.44,1,19.2,3,0,7.2,0,30.62,509.86
C085,Individual,Sud,21,M,53,Premium,2,107.13,5,32.5,2,0,6.7,0,13.61,257.11
C086,Individual,Chișinău,27,F,36,Standard,1,31.3,3,26.4,0,0,5.5,0,38.79,75.12
C087,Individual,Centru,20,M,51,Premium,1,35.49,0,18.3,1,0,7.1,0,52.68,85.18
C088,Individual,Nord,58,M,26,Basic,3,50.57,0,31.3,2,0,7.8,0,46.26,121.37
C089,SME,Chișinău,62,F,29,Premium,3,140.25,4,17.8,1,1,6.8,0,28.02,336.6
C090,Individual,Chișinău,35,F,21,Basic,2,41.61,3,20.2,1,0,7,0,14.35,99.86
C091,Individual,Chișinău,64,F,11,Premium,1,56.1,3,10.2,2,0,6,0,20.11,134.64
C092,Individual,Centru,53,F,40,Basic,1,21.89,1,19.4,0,1,9.1,0,37.27,52.54
C093,SME,Centru,64,M,11,Standard,3,90.8,1,26.5,2,1,7.7,0,20.35,217.92
C094,Individual,Chișinău,39,M,36,Standard,1,38.66,1,39.7,2,0,7.5,0,37.2,92.78
C095,SME,Centru,51,M,49,Basic,1,12.22,2,20.5,4,1,7.2,0,21.58,29.33
C096,Individual,Chișinău,64,M,59,Basic,1,10.89,0,13.6,0,0,8.3,0,52.45,26.14
C097,Individual,Chișinău,25,F,39,Basic,3,24.97,2,39,1,0,7.3,0,29.86,59.93
C098,Individual,Centru,57,M,40,Basic,2,35.01,1,19,2,1,7.9,0,22.28,84.02
C099,Individual,Chișinău,66,M,35,Standard,4,118.91,4,6.5,3,0,5.1,0,50.62,285.38
C100,Individual,Chișinău,61,F,54,Basic,2,47.89,1,25.3,0,0,8.4,0,27.14,114.94
C101,Individual,Nord,36,M,34,Basic,4,67.03,3,20.8,2,0,7.1,0,15.57,160.87
C102,Individual,Chișinău,59,M,55,Basic,1,21.37,1,47,1,0,5.4,0,38.52,51.29
C103,Individual,Centru,58,M,47,Premium,2,126.27,1,28.8,4,0,6.2,0,39.08,303.05
C104,Individual,Chișinău,54,M,24,Basic,4,66.27,1,22.5,4,1,8.2,0,45.73,159.05
C105,SME,Centru,23,M,54,Basic,3,64.47,3,14.8,1,0,5.3,0,22.01,154.73
C106,Individual,Chișinău,69,M,22,Basic,3,75.03,1,27.3,0,1,8.8,0,32.19,180.07
C107,Individual,Centru,43,F,5,Standard,2,52.67,1,38.6,0,0,7.3,0,24.12,126.41
C108,SME,Nord,51,F,56,Premium,2,110.5,7,27.1,3,1,6.1,0,14.05,265.2
C109,Individual,Chișinău,73,M,33,Basic,1,16.59,3,15.5,0,1,7.4,0,53.83,39.82
C110,Individual,Nord,62,M,58,Basic,2,28.26,1,29.4,0,1,7.4,0,46.44,67.82
C111,Individual,Centru,23,F,36,Standard,1,24.24,0,23.5,0,0,8.3,0,25.07,58.18
C112,Individual,Chișinău,54,M,47,Standard,1,26.67,1,28.5,0,0,7.5,0,39.97,64.01
C113,SME,Chișinău,74,M,20,Basic,3,60.9,2,20.5,0,0,6.6,0,20.06,146.16
C114,SME,Sud,50,M,19,Standard,3,71.17,0,20.2,2,1,9.9,0,54.51,170.81
C115,Individual,Sud,70,F,35,Premium,4,197.97,2,19.8,0,1,7,0,15.75,475.13
C116,SME,Centru,39,M,52,Basic,3,72.2,0,33.4,1,0,5.9,0,10.19,173.28
C117,SME,Centru,38,F,43,Standard,3,114.43,3,20.3,2,0,7.7,0,35.1,274.63
C118,Individual,Centru,23,M,17,Standard,2,62.57,4,19.4,1,0,5.8,0,39.16,150.17
C119,SME,Sud,23,F,59,Standard,3,140.48,1,14.6,2,1,7.6,0,38.95,337.15
C120,Individual,Chișinău,72,F,45,Basic,4,117.86,3,28.5,0,0,6.4,0,12.73,282.86
C121,SME,Chișinău,65,M,43,Basic,2,40.26,1,27.1,1,1,7.4,0,25.7,96.62
C122,SME,Chișinău,21,F,34,Premium,4,121.26,2,19.5,1,1,7,0,34.96,291.02
C123,Individual,Nord,47,M,9,Premium,3,191.59,1,16.9,1,0,6.7,0,20.83,459.82
C124,Individual,Centru,28,F,26,Standard,4,75.77,1,42.8,1,0,7.2,0,53.63,181.85
C125,Individual,Nord,47,M,2,Standard,2,90.67,1,5.2,1,0,7.4,0,14.36,217.61
C126,Individual,Centru,48,M,53,Standard,1,42.59,2,28.9,3,0,7.1,0,34.37,102.22
C127,SME,Centru,41,F,9,Standard,4,189.68,1,36.9,2,0,7.4,0,44.57,455.23
C128,SME,Chișinău,72,M,9,Basic,4,85.21,2,2,1,0,6.6,0,23.09,204.5
C129,Individual,Centru,26,M,40,Basic,2,36.39,3,31.9,2,1,6.9,0,41.21,87.34
C130,Individual,Nord,72,F,17,Premium,2,101,3,21.8,2,0,6.1,0,51.47,242.4
C131,Individual,Nord,20,M,1,Basic,4,69.07,1,26.6,2,0,6.4,0,19.52,165.77
C132,Individual,Chișinău,68,M,25,Premium,3,194.43,2,20.8,1,1,8.1,0,55.86,466.63
C133,Individual,Sud,48,F,43,Basic,4,94.25,1,34.8,0,1,7.8,0,37.68,226.2
C134,Individual,Nord,57,F,40,Basic,2,41.2,0,27.6,1,0,7.4,0,24.96,98.88
C135,SME,Nord,54,M,42,Basic,1,16.39,2,25.3,1,0,6.3,0,31.54,39.34
C136,Individual,Sud,53,M,25,Standard,1,53.4,2,15,1,0,6.3,0,25.61,128.16
C137,Individual,Nord,41,F,39,Premium,3,192.37,2,42.8,0,1,9,0,46.26,461.69
C138,Individual,Chișinău,48,F,35,Basic,4,48.05,3,24.1,1,1,7.4,0,49.82,115.32
C139,Individual,Sud,23,M,3,Premium,1,49.84,0,46.9,4,1,6.5,0,51.65,119.62
C140,SME,Nord,19,F,50,Standard,4,166.09,3,43.3,2,0,6.3,1,59.29,398.62
C141,SME,Nord,37,M,37,Premium,2,94.01,1,6.2,0,1,9.2,0,49.56,225.62
C142,Individual,Chișinău,45,M,44,Basic,1,21.76,1,17.5,1,0,7.6,0,40.07,52.22
C143,Individual,Centru,28,M,44,Premium,3,193.52,2,13.6,2,0,8.1,0,26.96,464.45
C144,Individual,Centru,21,M,51,Standard,2,22.56,4,23.5,0,0,5.2,0,37.23,54.14
C145,Individual,Chișinău,32,M,30,Basic,3,58.38,1,25.9,2,0,5.6,0,12.05,140.11
C146,Individual,Chișinău,23,F,38,Basic,2,39.31,2,26.3,2,0,7,0,47.24,94.34
C147,Individual,Chișinău,71,F,34,Premium,1,50.88,4,34.5,2,1,6.6,0,32.3,122.11
C148,Individual,Chișinău,66,F,12,Premium,3,174.05,4,38.9,2,1,3.6,1,11,417.72
C149,Individual,Centru,47,F,19,Basic,3,69.86,1,33.7,0,0,7,0,13.13,167.66
C150,Individual,Nord,73,M,37,Standard,2,71.99,2,18.4,0,0,6.5,0,29.37,172.78
C151,SME,Chișinău,55,M,44,Premium,3,153.79,3,16.2,2,0,5.4,0,39.17,369.1
C152,Individual,Sud,68,M,59,Premium,2,122.65,1,24,2,0,6.4,0,33.21,294.36
C153,Individual,Centru,74,M,59,Premium,2,110.98,3,28.3,0,0,7.2,0,40.96,266.35
C154,Individual,Chișinău,19,F,49,Standard,2,66.77,2,22.2,1,1,6.7,0,34.01,160.25
C155,SME,Nord,32,M,17,Standard,2,51.63,4,10.5,2,0,5.4,0,43.09,123.91
C156,Individual,Centru,28,M,10,Basic,1,12.19,1,30.8,2,0,5.8,0,20.96,29.26
C157,Individual,Nord,25,F,57,Basic,2,26.69,1,20.1,0,0,8.7,0,15.64,64.06
C158,SME,Centru,43,F,55,Standard,4,147.79,6,19.8,1,1,6.3,0,39.82,354.7
C159,Individual,Nord,68,F,49,Standard,3,103.34,2,23.5,1,1,5.5,0,34.23,248.02
C160,Individual,Nord,62,F,47,Basic,4,50.39,3,21.6,1,1,6.4,0,11.34,120.94
C161,Individual,Nord,61,M,12,Premium,1,61.46,2,20.3,1,1,8,0,29.02,147.5
C162,Individual,Sud,22,M,16,Standard,4,178.48,2,11.2,0,0,8.4,0,15.31,428.35
C163,Individual,Sud,23,F,24,Standard,3,92.43,0,22.9,0,0,8.7,0,36.57,221.83
C164,Individual,Sud,43,M,19,Standard,4,91.25,3,31,0,1,6.9,0,29.79,219
C165,Individual,Chișinău,71,M,8,Standard,1,30.04,2,26.6,0,0,5.6,0,40.66,72.1
C166,SME,Centru,21,M,31,Basic,2,48.54,1,33.5,1,0,8,0,50.28,116.5
C167,Individual,Centru,36,F,21,Basic,4,90.97,1,16.7,0,0,7.5,0,24.98,218.33
C168,Individual,Chișinău,37,M,17,Basic,1,15.39,1,11.2,1,0,7.6,0,58.11,36.94
C169,Individual,Nord,50,F,23,Basic,1,27.61,2,21.5,0,0,7.1,0,36.78,66.26
C170,Individual,Chișinău,37,M,37,Standard,3,133.31,1,17.9,0,0,6.6,0,40.91,319.94
C171,Individual,Nord,66,M,54,Standard,3,89.61,0,18.9,1,1,8.7,0,44.03,215.06
C172,Individual,Chișinău,29,M,16,Basic,4,65.13,3,26.1,2,0,6.5,0,43.34,156.31
C173,Individual,Nord,64,F,6,Standard,2,61.7,1,19,1,0,7.1,0,35.55,148.08
C174,Individual,Chișinău,18,M,8,Basic,1,17.46,3,11.5,0,0,7.4,0,31.44,41.9
C175,Individual,Centru,43,F,25,Premium,4,258.02,4,18.4,2,0,5,0,12.69,619.25
C176,Individual,Chișinău,31,F,18,Premium,1,59.25,0,27.4,0,0,7.7,0,11.1,142.2
C177,Individual,Nord,55,F,25,Basic,1,24.39,2,30.7,2,0,6.7,0,27.9,58.54
C178,Individual,Sud,54,M,12,Standard,2,79.43,2,30.6,0,0,5.7,0,26.68,190.63
C179,SME,Chișinău,28,M,15,Basic,2,57.15,0,28.2,0,0,7.9,0,29.38,137.16
C180,Individual,Centru,53,M,59,Standard,4,110.34,2,22.3,0,0,7.8,0,16.92,264.82
C181,Individual,Sud,30,M,26,Standard,2,75.33,1,28,3,0,6.7,1,46.91,180.79
C182,Individual,Sud,60,F,41,Basic,2,18.26,1,23.6,1,0,7.4,0,52.85,43.82
C183,SME,Centru,20,F,45,Standard,4,103.13,0,25.1,0,0,8.4,1,56.94,247.51
C184,SME,Sud,50,F,26,Basic,2,39.25,2,14.6,0,0,7,0,34.62,94.2
C185,Individual,Sud,23,M,47,Basic,3,66.27,3,24.4,0,1,7.1,0,45.04,159.05
C186,Individual,Chișinău,67,F,32,Standard,1,34.29,0,27.8,2,0,6.6,0,52.78,82.3
C187,SME,Nord,73,M,10,Basic,1,17.16,1,27.4,0,0,7.5,0,30.91,41.18
C188,Individual,Centru,27,F,16,Standard,1,32.27,0,11.1,0,0,7.9,0,25.47,77.45
C189,Individual,Chișinău,22,M,7,Standard,1,44.59,5,25,0,1,6.9,0,56.84,107.02
C190,Individual,Chișinău,40,M,17,Premium,4,204.64,2,9.6,3,1,7.8,0,35.78,491.14
C191,Individual,Centru,27,F,23,Basic,1,28.75,2,25.7,1,1,8.1,0,34.86,69
C192,SME,Sud,61,F,26,Standard,1,40.56,2,17,1,1,7.2,0,18.92,97.34
C193,SME,Centru,19,F,21,Standard,1,38.2,2,41.1,2,0,4.8,0,15.41,91.68
C194,Individual,Nord,30,F,22,Basic,1,14.03,2,25.2,1,1,8.1,0,52.11,33.67
C195,Individual,Centru,57,M,58,Premium,3,193.06,2,32,1,0,7.2,0,40.71,463.34
C196,Individual,Centru,19,F,7,Standard,1,31.54,2,45.1,3,0,5.8,0,26.29,75.7
C197,Individual,Sud,37,F,14,Standard,3,79.92,3,15.8,2,0,7,0,19.59,191.81
C198,SME,Nord,18,F,15,Standard,4,154.36,3,28.4,1,0,5.4,0,37.77,370.46
C199,SME,Chișinău,54,M,53,Premium,2,82.24,2,12.1,3,1,8.1,0,39.2,197.38
C200,SME,Chișinău,26,M,7,Premium,1,47.38,1,27.4,0,0,7.3,0,20.35,113.71
C201,Individual,Sud,34,F,9,Standard,2,69.86,2,41.7,1,1,6.6,0,52.57,167.66
C202,Individual,Centru,26,M,51,Standard,2,101.06,2,17.7,2,0,6.4,0,14.21,242.54
C203,Individual,Centru,28,F,48,Basic,4,66.26,3,15.1,2,0,6.3,0,27.8,159.02
C204,SME,Chișinău,32,M,8,Basic,2,35.42,2,23.1,1,0,7,0,44.02,85.01
C205,Individual,Sud,41,M,50,Standard,3,120.38,3,44.5,1,0,6.3,0,23.71,288.91
C206,Individual,Nord,55,M,59,Basic,2,27.62,4,31.7,2,1,6,0,51.38,66.29
C207,Individual,Chișinău,72,M,23,Standard,2,76.2,2,15,2,0,7.1,0,46.99,182.88
C208,Individual,Chișinău,52,F,29,Basic,2,52.06,4,38.6,1,0,6,0,49.45,124.94
C209,Individual,Chișinău,47,F,18,Basic,1,18.46,0,7.4,0,1,8.2,0,15.96,44.3
C210,Individual,Sud,48,F,31,Standard,1,42.18,2,45.4,1,0,6,0,17.03,101.23
C211,Individual,Sud,66,M,30,Premium,3,173.74,1,32.6,2,1,8.1,0,24.32,416.98
C212,Individual,Centru,22,F,52,Basic,3,49.04,0,41.6,1,0,8,0,35.9,117.7
C213,Individual,Chișinău,61,F,39,Standard,1,33.62,3,7.5,1,0,6.9,0,47.4,80.69
C214,Individual,Chișinău,67,F,35,Premium,3,153.61,1,25.7,0,0,8.3,0,51.83,368.66
C215,Individual,Nord,31,M,18,Basic,1,19.56,5,22.7,1,0,4.3,0,45.22,46.94
C216,Individual,Nord,70,M,59,Premium,4,226.11,4,13.9,0,0,6.1,0,56.43,542.66
C217,Individual,Centru,73,M,42,Basic,2,45.88,1,11,0,1,7.4,0,46.94,110.11
C218,Individual,Chișinău,28,F,39,Basic,2,45.09,0,29.1,5,1,9.2,0,25.31,108.22
C219,Individual,Chișinău,26,F,17,Premium,3,92.05,0,30,0,1,9,0,23.25,220.92
C220,SME,Nord,51,F,14,Basic,1,19.51,2,37,2,0,6.5,0,44.81,46.82
C221,Individual,Sud,29,M,31,Standard,1,24.43,0,19,2,0,8.3,0,19.64,58.63
C222,Individual,Centru,52,M,24,Premium,3,156.73,5,22.6,1,0,6.7,0,14.64,376.15
C223,Individual,Chișinău,52,F,35,Basic,1,19.38,2,10.2,1,0,8.1,0,36.61,46.51
C224,Individual,Chișinău,18,M,44,Standard,4,167.33,1,39.4,2,1,8.2,0,51.08,401.59
C225,Individual,Chișinău,57,M,60,Premium,2,109.4,2,24.7,1,0,6.8,0,15.07,262.56
C226,Individual,Centru,39,M,45,Basic,3,63.89,2,31.2,1,0,6.5,0,49.59,153.34
C227,SME,Centru,46,M,34,Premium,3,188.79,0,31.6,1,0,6.9,0,50.58,453.1
C228,Individual,Centru,25,F,3,Standard,1,43.59,2,38.6,1,1,7.7,0,34.11,104.62
C229,SME,Nord,28,M,37,Standard,3,102.42,2,15.7,5,0,6.2,0,12.87,245.81
C230,Individual,Chișinău,58,M,43,Standard,4,142.64,1,31,0,0,7.2,0,18.73,342.34
C231,SME,Chișinău,54,M,40,Basic,1,20.05,2,23.7,1,0,6.6,0,45.37,48.12
C232,Individual,Chișinău,31,M,26,Premium,1,49.57,1,45.1,1,0,8.2,0,45.59,118.97
C233,Individual,Chișinău,47,F,55,Premium,1,47.31,1,15.7,3,0,7.9,0,54.92,113.54
C234,Individual,Sud,52,F,23,Standard,1,19.1,0,35.7,0,0,9.3,0,39.13,45.84
C235,Individual,Chișinău,38,M,44,Standard,4,109.85,3,27.5,2,1,7.3,0,16.21,263.64
C236,Individual,Chișinău,54,M,39,Standard,1,22.55,0,27,4,0,7.2,0,16.07,54.12
C237,Individual,Chișinău,22,M,15,Standard,3,131.36,1,24.5,0,1,8.1,0,46.06,315.26
C238,Individual,Nord,36,M,56,Standard,4,145.28,2,37.5,1,1,6.5,0,19.19,348.67
C239,Individual,Centru,31,M,49,Standard,2,68.24,4,26.6,0,1,5.9,0,26.42,163.78
C240,Individual,Nord,43,M,4,Standard,2,59.96,2,8.8,0,0,7.8,0,34.36,143.9
C241,SME,Chișinău,21,F,29,Standard,3,105.63,1,36.2,1,0,6.5,0,11.24,253.51
C242,SME,Sud,42,M,22,Standard,3,87.19,1,34.4,0,1,8.1,0,22.44,209.26
C243,SME,Nord,62,F,25,Basic,4,83.48,3,29.9,0,1,8.1,0,30.39,200.35
C244,Individual,Sud,59,F,13,Basic,2,42.46,4,12.7,0,0,6,0,23.98,101.9
C245,Individual,Sud,42,M,18,Standard,2,57.94,0,14.3,2,1,9.9,0,16.82,139.06
C246,SME,Centru,35,F,33,Standard,2,57.67,2,5.2,0,0,6.7,0,46.4,138.41
C247,Individual,Nord,57,F,16,Standard,2,83.47,4,28.6,0,0,7.1,0,50.66,200.33
C248,SME,Sud,25,F,45,Standard,2,69.26,1,10.5,2,0,7.7,0,22.87,166.22
C249,SME,Centru,56,F,42,Standard,1,29.53,2,6.8,0,0,8.4,0,48.72,70.87
C250,SME,Chișinău,57,F,44,Standard,3,97.22,5,36.7,1,0,4.7,0,29.28,233.33
C251,Individual,Centru,31,F,2,Basic,1,14.95,3,31.7,1,1,8.8,0,35.33,35.88
C252,Individual,Chișinău,49,M,55,Standard,2,69.06,0,20.7,1,0,7.7,0,52.8,165.74
C253,SME,Sud,68,F,35,Standard,4,163.29,4,22.7,1,0,6.8,0,47.5,391.9
C254,Individual,Sud,55,F,42,Premium,4,218.89,2,2,0,0,8.7,0,50.26,525.34
C255,Individual,Chișinău,50,F,34,Standard,2,103.09,1,33.2,0,0,7,0,16.84,247.42
C256,Individual,Centru,40,M,30,Basic,2,44.21,3,17.1,0,0,7.6,0,13.49,106.1
C257,SME,Nord,32,F,59,Basic,4,84.6,2,27.3,1,1,6.8,0,54.67,203.04
C258,Individual,Nord,50,M,55,Basic,1,15.46,3,2,4,1,7.9,0,29.39,37.1
C259,Individual,Chișinău,42,F,13,Standard,1,33.33,0,33.8,0,1,7.7,0,24.39,79.99
C260,Individual,Sud,34,M,13,Basic,2,32.21,2,16.5,0,1,7.8,0,46.23,77.3
C261,Individual,Sud,50,M,18,Standard,1,19.84,2,10.2,0,0,7.7,0,51.82,47.62
C262,SME,Nord,64,F,32,Standard,4,167.28,2,20.6,1,0,7.7,0,53.12,401.47
C263,Individual,Nord,72,F,32,Basic,1,17.44,5,18,0,0,7.7,0,25.8,41.86
C264,Individual,Nord,19,M,35,Standard,2,59.35,2,34.7,2,0,6.3,0,52.61,142.44
C265,SME,Centru,31,F,59,Basic,4,84.21,2,19.8,0,1,8.7,0,12.05,202.1
C266,Individual,Sud,70,M,39,Standard,1,38.59,3,37.6,0,0,8.2,0,12.48,92.62
C267,Individual,Centru,57,M,46,Basic,3,55.19,0,27.3,2,0,7.7,0,41.18,132.46
C268,Individual,Centru,57,M,52,Premium,4,219.9,4,32.9,0,1,6.3,0,13.16,527.76
C269,Individual,Chișinău,68,M,29,Basic,4,94.92,3,24,0,1,5.9,0,26.23,227.81
C270,Individual,Centru,56,M,49,Premium,3,154.19,2,36.7,0,1,9,0,43.64,370.06
